lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,valid_loss_epoch,valid_mse_epoch,valid_mae_epoch,valid_corr_nino3.4_epoch,valid_corr_nino3.4_weighted_epoch,valid_nino_rmse_epoch,test_mse_epoch,test_mae_epoch,test_corr_nino3.4_epoch,test_corr_nino3.4_weighted_epoch,test_nino_rmse_epoch
4.5546793813802804e-05,4.5546793813802804e-05,7451,,,,,,,,,,,,,
,,7451,0.0004260693385731429,9,,,,,,,,,,,
4.6041934103551563e-05,4.6041934103551563e-05,7532,,,,,,,,,,,,,
4.6041934103551563e-05,4.6041934103551563e-05,7532,,,,,,,,,,,,,
,,7532,0.00046967368689365685,9,,,,,,,,,,,
4.653707439330033e-05,4.653707439330033e-05,7613,,,,,,,,,,,,,
4.653707439330033e-05,4.653707439330033e-05,7613,,,,,,,,,,,,,
,,7613,0.00044716428965330124,9,,,,,,,,,,,
4.703221468304909e-05,4.703221468304909e-05,7694,,,,,,,,,,,,,
4.703221468304909e-05,4.703221468304909e-05,7694,,,,,,,,,,,,,
,,7694,0.000519009365234524,9,,,,,,,,,,,
4.752735497279785e-05,4.752735497279785e-05,7775,,,,,,,,,,,,,
4.752735497279785e-05,4.752735497279785e-05,7775,,,,,,,,,,,,,
,,7775,0.0005410794401541352,9,,,,,,,,,,,
4.802249526254661e-05,4.802249526254661e-05,7856,,,,,,,,,,,,,
4.802249526254661e-05,4.802249526254661e-05,7856,,,,,,,,,,,,,
,,7856,0.00042367554851807654,9,,,,,,,,,,,
4.851763555229538e-05,4.851763555229538e-05,7937,,,,,,,,,,,,,
4.851763555229538e-05,4.851763555229538e-05,7937,,,,,,,,,,,,,
,,7937,0.00044505271944217384,9,,,,,,,,,,,
4.901277584204414e-05,4.901277584204414e-05,8018,,,,,,,,,,,,,
4.901277584204414e-05,4.901277584204414e-05,8018,,,,,,,,,,,,,
,,8018,0.00044576189247891307,9,,,,,,,,,,,
4.95079161317929e-05,4.95079161317929e-05,8099,,,,,,,,,,,,,
4.95079161317929e-05,4.95079161317929e-05,8099,,,,,,,,,,,,,
,,8099,0.000425239879405126,9,,,,,,,,,,,
,,8179,,9,-0.4152217507362366,0.00032054775510914624,0.01244322955608368,0.4152217507362366,0.8991841673851013,0.661025881767273,,,,,
5.000305642154166e-05,5.000305642154166e-05,8180,,,,,,,,,,,,,
5.000305642154166e-05,5.000305642154166e-05,8180,,,,,,,,,,,,,
,,8180,0.0003966711519751698,10,,,,,,,,,,,
5.049819671129042e-05,5.049819671129042e-05,8261,,,,,,,,,,,,,
5.049819671129042e-05,5.049819671129042e-05,8261,,,,,,,,,,,,,
,,8261,0.0003945511416532099,10,,,,,,,,,,,
5.099333700103919e-05,5.099333700103919e-05,8342,,,,,,,,,,,,,
5.099333700103919e-05,5.099333700103919e-05,8342,,,,,,,,,,,,,
,,8342,0.0004933511954732239,10,,,,,,,,,,,
5.148847729078795e-05,5.148847729078795e-05,8423,,,,,,,,,,,,,
5.148847729078795e-05,5.148847729078795e-05,8423,,,,,,,,,,,,,
,,8423,0.00047829109826125205,10,,,,,,,,,,,
5.198361758053671e-05,5.198361758053671e-05,8504,,,,,,,,,,,,,
5.198361758053671e-05,5.198361758053671e-05,8504,,,,,,,,,,,,,
,,8504,0.0004085110267624259,10,,,,,,,,,,,
5.247875787028548e-05,5.247875787028548e-05,8585,,,,,,,,,,,,,
5.247875787028548e-05,5.247875787028548e-05,8585,,,,,,,,,,,,,
,,8585,0.00047754525439813733,10,,,,,,,,,,,
5.297389816003423e-05,5.297389816003423e-05,8666,,,,,,,,,,,,,
5.297389816003423e-05,5.297389816003423e-05,8666,,,,,,,,,,,,,
,,8666,0.0003967790980823338,10,,,,,,,,,,,
5.3469038449782996e-05,5.3469038449782996e-05,8747,,,,,,,,,,,,,
5.3469038449782996e-05,5.3469038449782996e-05,8747,,,,,,,,,,,,,
,,8747,0.0004212766361888498,10,,,,,,,,,,,
5.3964178739531755e-05,5.3964178739531755e-05,8828,,,,,,,,,,,,,
5.3964178739531755e-05,5.3964178739531755e-05,8828,,,,,,,,,,,,,
,,8828,0.00039520655991509557,10,,,,,,,,,,,
5.445931902928052e-05,5.445931902928052e-05,8909,,,,,,,,,,,,,
5.445931902928052e-05,5.445931902928052e-05,8909,,,,,,,,,,,,,
,,8909,0.0004462308424990624,10,,,,,,,,,,,
5.4954459319029286e-05,5.4954459319029286e-05,8990,,,,,,,,,,,,,
5.4954459319029286e-05,5.4954459319029286e-05,8990,,,,,,,,,,,,,
,,8990,0.0004030176787637174,10,,,,,,,,,,,
5.5449599608778045e-05,5.5449599608778045e-05,9071,,,,,,,,,,,,,
5.5449599608778045e-05,5.5449599608778045e-05,9071,,,,,,,,,,,,,
,,9071,0.00042261634371243417,11,,,,,,,,,,,
5.594473989852681e-05,5.594473989852681e-05,9152,,,,,,,,,,,,,
5.594473989852681e-05,5.594473989852681e-05,9152,,,,,,,,,,,,,
,,9152,0.0003897188580594957,11,,,,,,,,,,,
5.6439880188275577e-05,5.6439880188275577e-05,9233,,,,,,,,,,,,,
5.6439880188275577e-05,5.6439880188275577e-05,9233,,,,,,,,,,,,,
,,9233,0.00044653762597590685,11,,,,,,,,,,,
5.6935020478024336e-05,5.6935020478024336e-05,9314,,,,,,,,,,,,,
5.6935020478024336e-05,5.6935020478024336e-05,9314,,,,,,,,,,,,,
,,9314,0.00040380575228482485,11,,,,,,,,,,,
5.743016076777309e-05,5.743016076777309e-05,9395,,,,,,,,,,,,,
5.743016076777309e-05,5.743016076777309e-05,9395,,,,,,,,,,,,,
,,9395,0.00044615473598241806,11,,,,,,,,,,,
5.7925301057521854e-05,5.7925301057521854e-05,9476,,,,,,,,,,,,,
5.7925301057521854e-05,5.7925301057521854e-05,9476,,,,,,,,,,,,,
,,9476,0.000421905773691833,11,,,,,,,,,,,
5.842044134727061e-05,5.842044134727061e-05,9557,,,,,,,,,,,,,
5.842044134727061e-05,5.842044134727061e-05,9557,,,,,,,,,,,,,
,,9557,0.0004385256615933031,11,,,,,,,,,,,
5.891558163701938e-05,5.891558163701938e-05,9638,,,,,,,,,,,,,
5.891558163701938e-05,5.891558163701938e-05,9638,,,,,,,,,,,,,
,,9638,0.00042499322444200516,11,,,,,,,,,,,
5.9410721926768144e-05,5.9410721926768144e-05,9719,,,,,,,,,,,,,
5.9410721926768144e-05,5.9410721926768144e-05,9719,,,,,,,,,,,,,
,,9719,0.00043143329094164073,11,,,,,,,,,,,
5.99058622165169e-05,5.99058622165169e-05,9800,,,,,,,,,,,,,
5.99058622165169e-05,5.99058622165169e-05,9800,,,,,,,,,,,,,
,,9800,0.00042002106783911586,11,,,,,,,,,,,
6.040100250626567e-05,6.040100250626567e-05,9881,,,,,,,,,,,,,
6.040100250626567e-05,6.040100250626567e-05,9881,,,,,,,,,,,,,
,,9881,0.0004253324877936393,12,,,,,,,,,,,
6.0896142796014435e-05,6.0896142796014435e-05,9962,,,,,,,,,,,,,
6.0896142796014435e-05,6.0896142796014435e-05,9962,,,,,,,,,,,,,
,,9962,0.0003720611857715994,12,,,,,,,,,,,
6.13912830857632e-05,6.13912830857632e-05,10043,,,,,,,,,,,,,
6.13912830857632e-05,6.13912830857632e-05,10043,,,,,,,,,,,,,
,,10043,0.00045664783101528883,12,,,,,,,,,,,
6.188642337551195e-05,6.188642337551195e-05,10124,,,,,,,,,,,,,
6.188642337551195e-05,6.188642337551195e-05,10124,,,,,,,,,,,,,
