lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,valid_mse_step,valid_mae_step,valid_ssim_step,valid_loss_epoch,valid_mse_epoch,valid_mae_epoch,valid_ssim_epoch,test_mse_step,test_mae_step,test_ssim_step,test_mse_epoch,test_mae_epoch,test_ssim_epoch
,,78,,,55.1391716003418,143.89501953125,0.42878419160842896,,,,,,,,,,
,,79,,,54.7031364440918,143.41372680664062,0.4571301341056824,,,,,,,,,,
,,80,,,43.96828079223633,120.0091323852539,0.5063282251358032,,,,,,,,,,
,,81,,,64.33740234375,158.23016357421875,0.422452449798584,,,,,,,,,,
,,82,,,56.83649444580078,138.87237548828125,0.48203325271606445,,,,,,,,,,
,,83,,,53.2756233215332,139.2300567626953,0.4581635892391205,,,,,,,,,,
,,84,,,60.722618103027344,143.14608764648438,0.48714345693588257,,,,,,,,,,
,,85,,,42.732086181640625,117.60868835449219,0.5045410394668579,,,,,,,,,,
,,86,,,53.00348663330078,141.0897979736328,0.40962710976600647,,,,,,,,,,
,,87,,,51.565284729003906,133.60781860351562,0.47468680143356323,,,,,,,,,,
,,88,,,59.398216247558594,150.84536743164062,0.4373510777950287,,,,,,,,,,
,,89,,,55.98887252807617,141.3993377685547,0.49023914337158203,,,,,,,,,,
,,90,,,70.63739776611328,170.7042694091797,0.38589707016944885,,,,,,,,,,
,,91,,,60.47869873046875,150.9403076171875,0.4604293406009674,,,,,,,,,,
,,92,,,55.30694580078125,144.06715393066406,0.40049973130226135,,,,,,,,,,
,,93,,,43.764198303222656,118.46745300292969,0.48850497603416443,,,,,,,,,,
,,94,,,53.80476760864258,140.8773956298828,0.4663982391357422,,,,,,,,,,
,,95,,,44.32158660888672,118.78780364990234,0.5109175443649292,,,,,,,,,,
,,96,,,66.83976745605469,160.66424560546875,0.4476243853569031,,,,,,,,,,
,,97,,,55.84796905517578,146.13388061523438,0.4499087333679199,,,,,,,,,,
,,98,,,40.05982208251953,109.13908386230469,0.541712760925293,,,,,,,,,,
,,99,,,54.2669792175293,142.4403076171875,0.4252554774284363,,,,,,,,,,
,,100,,,54.16851806640625,138.83895874023438,0.44462499022483826,,,,,,,,,,
,,101,,,57.93581008911133,147.4785919189453,0.42454585433006287,,,,,,,,,,
,,102,,,67.6135482788086,170.0806884765625,0.3747706115245819,,,,,,,,,,
,,103,,,55.839141845703125,144.40838623046875,0.4317118227481842,,,,,,,,,,
,,104,,,55.75163650512695,143.7753448486328,0.4347608685493469,,,,,,,,,,
,,105,,,54.32399368286133,134.8463897705078,0.4729584753513336,,,,,,,,,,
,,106,,,69.42791748046875,169.091552734375,0.41141191124916077,,,,,,,,,,
,,107,,,55.2713737487793,144.56503295898438,0.4850437641143799,,,,,,,,,,
,,108,,,46.36809158325195,124.8449935913086,0.4911786913871765,,,,,,,,,,
